objectid,facil_id,instit_id,facil_name,facil_addr,grade_leve,grade_org,facil_tele,zipcode,tencode,st_code,facil_type,instit_typ,enrollment,active,cartodb_id,created_at,updated_at,longitude_0,latitude_0,geojson
332,226518212_2,226518212,St John The Baptist,142 Rector St,Elementary School,pre K,215-482-0449,19127,6762000142,67620,Annex,Archdiocese,0,C,205,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2198509784306,40.0254713692029,"{""type"":""Point"",""coordinates"":[-75.21985,40.02547]}"
333,226517352,226517352,St. Donato,423 N  65TH  ST,Elementary School,pre K-8,215-748-2994,19151,8915000423,89150,School,Archdiocese,230,O,206,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2490687160851,39.9696999414453,"{""type"":""Point"",""coordinates"":[-75.24907,39.9697]}"
334,226515252,226515252,Our Lady Of Victory,5412 VINE  ST,Elementary School,pre K-8,215-747-8004,19139,8012005412,80120,School,Archdiocese,207,C,207,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2280611068903,39.9645075985171,"{""type"":""Point"",""coordinates"":[-75.22806,39.96451]}"
335,226518872_2,226518872,St Mary Of The Assumption,158-176 Conarroe St,Elementary School,pre K-8,215-482-1611,19127,2458000176,24580,Athletic,Archdiocese,0,C,208,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2241119553815,40.0280510839089,"{""type"":""Point"",""coordinates"":[-75.22411,40.02805]}"
336,226512202,226512202,Holy Child (fka Holy Family),232  Hermitage St,Elementary School,pre K-8,215-487-2796,19127,4218000232,42180,School,Archdiocese,190,O,209,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2281899159881,40.0328334351853,"{""type"":""Point"",""coordinates"":[-75.22819,40.03283]}"
337,226518212_1,226518212,St John The Baptist,119 Rector St,Elementary School,pre K-8,215-482-0449,19127,6762000119,67620,School,Archdiocese,315,C,210,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2195065002188,40.0250321730858,"{""type"":""Point"",""coordinates"":[-75.21951,40.02503]}"
338,226516802,226516802,St. Bridget,3671  MIDVALE  AVE,Elementary School,pre K-8,215-843-2828,,5594003671,55940,School,Archdiocese,155,2,211,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1937541923796,40.0113143999378,"{""type"":""Point"",""coordinates"":[-75.19375,40.01131]}"
339,226514952,226514952,Our Lady of Lourdes,1922 N  63RD  ST,Elementary School,pre K-8,215-877-2727,19151,8907001922,89070,School,Archdiocese,217,2,212,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2477663386605,39.9846838371425,"{""type"":""Point"",""coordinates"":[-75.24777,39.98468]}"
340,NO AU NUMBER_6,NO AU NUMBER,Bishop Neumann,2600 Moore St,Elementary School,,,,5688002600,56880,School,Archdiocese,0,C,213,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1894810451386,39.9304737953035,"{""type"":""Point"",""coordinates"":[-75.18948,39.93047]}"
341,226518722,226518722,St. Martha,11321    ACADEMY         RD,Elementary School,K-8,215-632-0320,19154,1120011101,11200,School,Archdiocese,630,O,214,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-74.9850473447421,40.0875698895152,"{""type"":""Point"",""coordinates"":[-74.98505,40.08757]}"
