RACK_TYPE,BIKE_COUNT,LAT,LNG
Staple or Inverted-U,2.0,39.9537366085,-75.1664856416
Staple or Inverted-U,2.0,39.9537248508,-75.1663869651
Staple or Inverted-U,4.0,39.9548633014,-75.1671862471
Staple or Inverted-U,2.0,39.9533276075,-75.1515082164
Staple or Inverted-U,2.0,39.9531880653,-75.1515407005
Staple or Inverted-U,2.0,39.9583281609,-75.171504586
Staple or Inverted-U,2.0,39.9581991199,-75.1714908964
Staple or Inverted-U,2.0,39.9581081909,-75.1714757604
Converted Parking Meter,2.0,39.9578434022,-75.1722107002
Staple or Inverted-U,2.0,39.9566627101,-75.1688272588
Staple or Inverted-U,2.0,39.9567655641,-75.1687366129
Converted Parking Meter,1.0,39.9503665432,-75.1505533988
Staple or Inverted-U,2.0,39.9553749745,-75.1675379675
Converted Parking Meter,2.0,39.9555824656,-75.1676477935
Staple or Inverted-U,2.0,39.9493185083,-75.1509516999
Staple or Inverted-U,2.0,39.9551825671,-75.1697747917
Converted Parking Meter,2.0,39.9552108409,-75.1699719716
Converted Parking Meter,2.0,39.9552703112,-75.1704963229
Converted Parking Meter,2.0,39.9552940989,-75.170706064
Converted Parking Meter,2.0,39.9553124263,-75.1708850358
Staple or Inverted-U,2.0,39.9554404922,-75.1708553924
Converted Parking Meter,2.0,39.9551311169,-75.1679119283
Converted Parking Meter,2.0,39.955245031,-75.167889013
