FID,DC_NUM,DC_KEY,LOCATION_B,THEFT_DATE,THEFT_YEAR,DC_DIST,STOLEN_VAL,THEFT_HOUR,UCR,X,Y,GlobalID,x2,y2
694,063625,201403063625,400 BLOCK FEDERAL ST,10/21/2014 12:00:00 AM,2014,03,1500,19,615,-75.15152506,39.93325826,bae1199f-af73-4f0c-8f24-1f430c6e3f85,-119.63921276381,45.7963858876021
695,002600,201502002600,2200 BLOCK BORBECK AV,1/14/2015 12:00:00 AM,2015,02,200,20,615,-75.05367048,40.05669701,98598349-6865-47cb-83a5-83df2c78f1f0,-119.633360337884,45.8535302185604
696,064740,201403064740,100 BLOCK FITZGERALD ST,10/26/2014 12:00:00 AM,2014,03,100,10,625,-75.14952243,39.91835475,33c113d8-d050-452f-9aea-4ec0044e41d8,-119.634582328724,45.7914093914833
697,003591,201502003591,6400 BLOCK RISING SUN AVE,1/19/2015 12:00:00 AM,2015,02,300,19,615,-75.09475318,40.0504302,5cba986b-0438-4ed9-bf03-a9decd1cebb7,-119.647627066197,45.8456143348124
698,044158,201417044158,800 BLOCK S 24TH ST,10/10/2014 12:00:00 AM,2014,17,4000,12,615,-75.18242844,39.94282151,29f2b464-c790-4a89-8244-35679043f869,-119.653632623649,45.7954673811694
699,002655,201503002655,1000 BLOCK BAINBRIDGE ST,1/13/2015 12:00:00 AM,2015,03,1000,16,615,-75.15885513,39.94190038,c7419a6a-8dcc-4c32-9dce-f0b9010f9a70,-119.644282967647,45.7984156391941
700,045683,201417045683,500 BLOCK S 21ST ST,10/18/2014 12:00:00 AM,2014,17,300,10,615,-75.17686892,39.94536613,b2fa5d9a-729b-404a-acec-2203d0adf30a,-119.652142795134,45.7971366698276
701,004313,201503004313,700 BLOCK WHARTON ST,1/21/2015 12:00:00 AM,2015,03,100,11,625,-75.15608149,39.93260104,ecf45b22-b47e-47a7-9cf8-f2a090cf72d7,-119.640803811767,45.7955216348351
702,045694,201417045694,500 BLOCK S 21ST ST,10/18/2014 12:00:00 AM,2014,17,400,11,615,-75.17686892,39.94536613,5fb745f9-0e61-4f1c-a3d7-335107412f89,-119.652142795134,45.7971366698276
703,004549,201503004549,2600 BLOCK S HANCOCK ST,1/22/2015 12:00:00 AM,2015,03,250,17,615,-75.15093244,39.91490613,0ecba6cc-c2f0-4d72-a512-aef8f3a7a078,-119.634235153806,45.7899979472878
704,045976,201417045976,2000 BLOCK KATER ST,10/19/2014 12:00:00 AM,2014,17,1000,19,615,-75.1759975,39.94445816,e70b48b9-e781-40d3-81bf-88e831f61a1e,-119.651570891785,45.7969374923453
